FIN,DVS,WSO,SM,NAVAIL,LAI,NAMOUNTRT,NDEMANDST,PDEMANDSO,RNUPTAKE,RKUPTAKERT,RPUPTAKELV,KDEMANDLV,PTRANSLOCATABLE,PAVAIL,PERCT,WRT,GRLV,IRRAD,TEMP,TMIN,TMAX,VAP,RAIN,WIND,DAYS ELAPSED
0.0,-0.1,0.0,0.4081051295196656,0.20590369916979429,0.03239710347935506,0.2922325747491459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38413550323669465,0.0,9.953027182597559,0.0,13450000.0,0.39,-2.03,3.51,5.325066929321414,0.071,4.95,1.0
0.0,-0.1,0.0,0.38073194310492997,0.5571624565823703,0.03239710347935506,0.2922325747491459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5881076618235733,0.38378799031656946,9.953027182597559,0.0,10190000.0,0.25,-2.76,4.07,5.285823150609879,0.046,2.89,2.0
0.0,-0.1,0.0,0.36597503422503636,0.9084212139949462,0.03239710347935506,0.2922325747491459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792079820410452,0.49174767839963995,9.953027182597559,0.0,8600000.0,1.03,-3.41,5.07,5.278005186846188,0.034999999999999996,0.69,3.0
0.0,-0.1,0.0,0.3627548020477848,1.2596799714075222,0.03239710347935506,0.2922325747491459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9960519789973307,0.49174767839963995,9.953027182597559,0.0,5050000.0,0.59,-1.12,2.53,6.002134801141587,0.673,1.57,4.0
0.0,-0.1,0.0,0.4162172164090502,1.610938728820098,0.03239710347935506,0.2922325747491459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2000241375842093,0.49174767839963995,9.953027182597559,0.0,5250000.0,1.53,-0.71,2.88,6.590826002796697,0.8789999999999999,3.13,5.0
0.0,-0.1,0.0,0.436451067902098,1.9621974862326739,0.03239710347935506,0.2922325747491459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.403996296171088,1.0492454974334855,9.953027182597559,0.0,7610000.0,3.93,0.66,7.82,7.302522156635223,0.187,2.3,6.0
0.0,-0.1,0.0,0.3911050813545272,2.3134562436452497,0.03239710347935506,0.2922325747491459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6079684547579665,1.7159100093109658,9.953027182597559,0.0,7530000.0,3.7,0.07,7.82,7.1529418996428475,0.065,2.31,7.0
0.0,-0.1,0.0,0.36766850989962874,2.6647150010578255,0.03239710347935506,0.2922325747491459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.811940613344845,1.9504183254173952,9.953027182597559,0.0,8650000.0,3.39,0.59,6.92,6.725144557509195,0.057999999999999996,1.91,8.0
0.0,-0.1,0.0,0.3965585306513991,3.0159737584704014,0.03239710347935506,0.2922325747491459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0159127719317236,1.9504183254173952,9.953027182597559,0.0,8940000.0,3.45,0.58,6.64,6.842193784909795,0.147,2.05,9.0
0.0,-0.1,0.0,0.37497719438997457,3.3672325158829772,0.03239710347935506,0.2922325747491459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.219884930518602,2.2366786122459295,9.953027182597559,0.0,15850000.0,5.0,1.29,10.18,7.333812362784213,0.028999999999999998,1.98,10.0
0.0,-0.1,0.0,0.3628725425369267,3.718491273295553,0.03239710347935506,0.2922325747491459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4238570891054807,2.2366786122459295,9.953027182597559,0.0,15190000.0,4.93,0.61,8.98,7.386225832633807,0.182,2.51,11.0
0.0,-0.1,0.0,0.37440277779066405,4.069750030708129,0.03239710347935506,0.2922325747491459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6278292476923593,2.2366786122459295,9.953027182597559,0.0,17850000.0,6.0,-0.94,12.53,7.147832581025247,0.0,1.37,12.0
0.0,-0.1,0.0,0.3583771700983238,4.421008788120705,0.03239710347935506,0.2922325747491459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.831801406279238,2.2366786122459295,9.953027182597559,0.0,19590000.0,8.21,1.34,15.06,9.000944915476813,0.0,2.47,13.0
0.0,-0.1,0.0,0.3555566934824276,4.772267545533281,0.03239710347935506,0.2922325747491459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0357735648661164,2.2366786122459295,9.953027182597559,0.0,15210000.0,9.94,5.69,16.26,10.582434147156988,0.288,4.16,14.0
0.0,-0.0998350429600197,0.0,0.37838174321141343,5.123526302945857,0.03239710347935506,0.2922325747491459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.239745723452995,2.2366786122459295,9.953027182597559,0.0,15260000.0,4.85,0.29,7.97,7.122334302584842,0.093,2.77,15.0
0.0,-0.0998350429600197,0.0,0.3701641582621858,5.474785060358433,0.03239710347935506,0.2922325747491459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4437178820398735,2.266232065738276,9.953027182597559,0.0,17900000.0,4.12,-0.91,9.74,6.347653903635195,0.003,1.85,16.0
0.0,-0.0998350429600197,0.0,0.3600896735205963,7.095725996429266,0.03239710347935506,0.2922325747491459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.647690040626752,2.266232065738276,9.953027182597559,0.0,21200000.0,6.25,-1.16,12.68,6.4869587735493415,0.0,1.21,17.0
0.0,-0.0998350429600197,0.0,0.35747049980327633,7.5651720504984,0.03239710347935506,0.2922325747491459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8516621992136306,2.266232065738276,9.953027182597559,0.0,18830000.0,7.92,-0.05,13.13,6.931158098209707,0.0,1.3,18.0
