FIN,DVS,WSO,SM,NAVAIL,LAI,NAMOUNTRT,NDEMANDST,PDEMANDSO,RNUPTAKE,RKUPTAKERT,RPUPTAKELV,KDEMANDLV,PTRANSLOCATABLE,PAVAIL,PERCT,WRT,GRLV,IRRAD,TEMP,TMIN,TMAX,VAP,RAIN,WIND,DAYS ELAPSED
0.0,-0.09864292442472274,0.0,0.3349478544463334,0.18804348268170434,0.028122126123148346,0.7113742131985888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2950461618089899,0.0,20.407928971805767,0.0,2190000.0,3.52,2.85,4.81,7.529397863673969,0.255,4.65,1.0
0.0,-0.09576084884944547,0.0,0.3527994223786415,0.5257269822113698,0.028122126123148346,0.7113742131985888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6295032939829739,0.0,20.407928971805767,0.0,1080000.0,2.42,0.63,5.87,7.036239980941016,1.209,5.62,2.0
0.0,-0.09379543994083486,0.0,0.4525859703870282,0.8634104817410353,0.028122126123148346,0.7113742131985888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9639604261569579,0.0,20.407928971805767,0.0,2330000.0,2.69,-0.92,7.02,7.183665598661893,0.152,4.08,3.0
0.0,-0.09160503103222427,0.0,0.4584411233858421,1.2010939812707009,0.028122126123148346,0.7113742131985888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2984175583309419,0.0,20.407928971805767,0.0,4110000.0000000005,3.68,-1.09,7.36,7.219657158576103,0.392,4.95,4.0
0.0,-0.08858962212361367,0.0,0.489261351077728,1.5387774808003662,0.028122126123148346,0.7113742131985888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6328746905049258,0.0,20.407928971805767,0.0,3030000.0,4.02,0.54,6.97,7.850810926649487,2.677,8.11,5.0
0.0,-0.08529087988166974,0.0,0.5832066284899342,1.8764609803300316,0.028122126123148346,0.7113742131985888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9673318226789098,0.0,20.407928971805767,0.0,5730000.0,3.2,-0.26,6.74,6.68652323050749,0.679,6.91,6.0
0.0,-0.08267547097305913,0.0,0.5799680900803437,2.214144479859697,0.028122126123148346,0.7113742131985888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.301788954852894,0.4458917388411171,20.407928971805767,0.0,3780000.0,1.47,-0.18,3.28,6.310955456583813,1.329,7.28,7.0
0.0,-0.0815017287311152,0.0,0.5773871025825305,2.5518279793893623,0.028122126123148346,0.7113742131985888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6362460870268776,0.8917834776822342,20.407928971805767,0.0,5830000.0,1.28,-0.64,4.01,6.233593376462356,0.244,5.49,8.0
0.0,-0.0804863198225046,0.0,0.5759198550888062,2.8895114789190277,0.028122126123148346,0.7113742131985888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9707032192008613,1.3376752165233512,20.407928971805767,0.0,4390000.0,1.2,-1.65,4.35,6.233593376462356,0.040999999999999995,2.26,9.0
0.0,-0.07953757758056067,0.0,0.560251451985954,3.227194978448693,0.028122126123148346,0.7113742131985888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.305160351374845,1.7835669553644684,20.407928971805767,0.0,2830000.0,3.29,0.95,5.94,7.255807862832747,0.08,3.23,10.0
